Date,Cash,Position_Value,Total_Equity,Signal,In_Position
2022-03-02,7867.0803904583445,2672.1003565486585,10539.180747007003,BUY,True
2022-03-03,7867.0803904583445,2658.797488520339,10525.877878978683,BUY,True
2022-03-04,7877.613602052203,2627.637347173349,10505.250949225552,BUY,True
2022-03-07,7877.613602052203,2550.1770762826154,10427.790678334819,BUY,True
2022-03-08,7817.767486125229,2584.218847195846,10401.986333321074,BUY,True
2022-03-09,7817.767486125229,2653.5031243840763,10471.270610509306,BUY,True
2022-03-10,7817.767486125229,2641.5214117986798,10459.288897923909,BUY,True
2022-03-11,7817.767486125229,2607.9343984725715,10425.7018845978,BUY,True
2022-03-14,7817.767486125229,2588.8746881208185,10406.642174246048,BUY,True
2022-03-15,7847.084052032155,2654.7783943512227,10501.862446383378,BUY,True
2022-03-16,7847.084052032155,2713.6457608282044,10560.72981286036,BUY,True
2022-03-17,7847.084052032155,2747.5968160326606,10594.680868064816,BUY,True
2022-03-18,10618.611528879044,0.0,10618.611528879044,SELL,False
2022-03-21,10618.611528879044,0.0,10618.611528879044,WAIT,False
2022-03-22,10618.611528879044,0.0,10618.611528879044,WAIT,False
2022-03-23,10618.611528879044,0.0,10618.611528879044,WAIT,False
2022-03-24,10618.611528879044,0.0,10618.611528879044,WAIT,False
2022-03-25,10618.611528879044,0.0,10618.611528879044,WAIT,False
2022-03-28,10618.611528879044,0.0,10618.611528879044,WAIT,False
2022-03-29,10618.611528879044,0.0,10618.611528879044,WAIT,False
2022-03-30,10618.611528879044,0.0,10618.611528879044,WAIT,False
2022-03-31,10618.611528879044,0.0,10618.611528879044,WAIT,False
2022-04-01,10618.611528879044,0.0,10618.611528879044,WAIT,False
2022-04-04,7963.958646659283,2675.3507434401927,10639.309390099475,BUY,True
2022-04-05,7963.958646659283,2641.557177781901,10605.515824441183,WAIT,True
2022-04-06,7963.958646659283,2615.143450442901,10579.102097102184,BUY,True
2022-04-07,7963.958646659283,2628.3209621599367,10592.279608819219,BUY,True
2022-04-08,7963.958646659283,2621.2931579027822,10585.251804562065,BUY,True
2022-04-11,7903.456568684624,2608.847666255359,10512.304234939982,BUY,True
2022-04-12,7903.456568684624,2599.1815710594183,10502.638139744042,BUY,True
2022-04-13,7903.456568684624,2628.951441560622,10532.408010245246,BUY,True
2022-04-14,7903.456568684624,2596.216222976555,10499.672791661178,BUY,True
2022-04-18,7903.456568684624,2597.2838633338383,10500.740432018461,BUY,True
2022-04-19,10541.875848036527,0.0,10541.875848036527,WAIT,False
2022-04-20,10541.875848036527,0.0,10541.875848036527,WAIT,False
2022-04-21,10541.875848036527,0.0,10541.875848036527,WAIT,False
2022-04-22,10541.875848036527,0.0,10541.875848036527,WAIT,False
2022-04-25,7906.406886027395,2664.777011476442,10571.183897503837,BUY,True
2022-04-26,7906.406886027395,2587.6025483342487,10494.009434361644,BUY,True
2022-04-27,7906.406886027395,2594.878119895458,10501.285005922853,BUY,True
2022-04-28,7906.406886027395,2660.423612187482,10566.830498214877,BUY,True
2022-04-29,7906.406886027395,2562.106077499735,10468.51296352713,BUY,True
2022-05-02,10461.78937058795,0.0,10461.78937058795,WAIT,False
2022-05-03,7846.342027940963,2623.294190274596,10469.636218215559,BUY,True
2022-05-04,7846.342027940963,2703.1808752105835,10549.522903151546,BUY,True
2022-05-05,7846.342027940963,2607.1018600134757,10453.44388795444,BUY,True
2022-05-06,7846.342027940963,2591.540820406029,10437.882848346992,WAIT,True
2022-05-09,7786.733481707556,2550.4104436125667,10337.143925320122,BUY,True
2022-05-10,7786.733481707556,2556.3028089609907,10343.036290668548,BUY,True
2022-05-11,7727.577780732667,2540.671932164649,10268.249712897315,BUY,True
2022-05-12,7668.871484757455,2575.0165798029443,10243.888064560399,BUY,True
2022-05-13,7668.871484757455,2636.580090674161,10305.451575431616,BUY,True
2022-05-16,7668.871484757455,2625.881466380983,10294.752951138438,BUY,True
2022-05-17,7668.871484757455,2679.8972638685746,10348.76874862603,BUY,True
2022-05-18,7668.871484757455,2571.866305526792,10240.737790284247,BUY,True
2022-05-19,7668.164249327337,2560.8113294755585,10228.975578802896,BUY,True
2022-05-20,7668.164249327337,2561.929185984108,10230.093435311444,BUY,True
2022-05-23,7668.164249327337,2609.863502369913,10278.02775169725,BUY,True
2022-05-24,7668.164249327337,2589.9400168268025,10258.10426615414,BUY,True
2022-05-25,7668.164249327337,2612.822059078352,10280.986308405689,BUY,True
2022-05-26,7749.295838262928,2625.333342715142,10374.62918097807,BUY,True
2022-05-27,7749.295838262928,2689.783618365173,10439.0794566281,BUY,True
2022-05-31,7749.295838262928,2674.6909423145325,10423.98678057746,BUY,True
2022-06-01,7749.295838262928,2653.057422489781,10402.353260752709,BUY,True
2022-06-02,7749.295838262928,2703.580314739396,10452.876153002324,BUY,True
2022-06-03,7805.781391650768,2589.4151755955936,10395.196567246361,BUY,True
2022-06-06,7805.781391650768,2597.2991914890827,10403.08058313985,BUY,True
2022-06-07,7805.781391650768,2622.213407729648,10427.994799380416,BUY,True
2022-06-08,7805.781391650768,2593.704386963499,10399.485778614267,BUY,True
2022-06-09,7805.781391650768,2532.01801443925,10337.799406090016,WAIT,True
2022-06-10,7746.48098398116,2548.177077875809,10294.658061856968,BUY,True
2022-06-13,7687.631080645883,2529.06581737891,10216.696898024793,BUY,True
2022-06-14,7687.631080645883,2521.4449939264396,10209.076074572324,BUY,True
2022-06-15,7687.631080645883,2557.3913897723396,10245.022470418222,BUY,True
2022-06-16,7629.228259170064,2515.8272289288825,10145.055488098948,BUY,True
2022-06-17,7629.228259170064,2521.2508296096416,10150.479088779706,WAIT,True
2022-06-21,7629.228259170064,2584.7197811088204,10213.948040278885,WAIT,True
2022-06-22,7629.228259170064,2580.0340883010954,10209.26234747116,WAIT,True
2022-06-23,7629.228259170064,2605.325070858699,10234.553330028763,WAIT,True
2022-06-24,10316.580090188794,0.0,10316.580090188794,WAIT,False
2022-06-27,10316.580090188794,0.0,10316.580090188794,WAIT,False
2022-06-28,10316.580090188794,0.0,10316.580090188794,WAIT,False
2022-06-29,10316.580090188794,0.0,10316.580090188794,WAIT,False
2022-06-30,10316.580090188794,0.0,10316.580090188794,WAIT,False
2022-07-01,10316.580090188794,0.0,10316.580090188794,WAIT,False
2022-07-05,10316.580090188794,0.0,10316.580090188794,WAIT,False
